,Type
2927,1
16152,1
5659,0
16250,1
11784,0
3813,0
13375,0
6933,1
5915,0
10289,0
16629,1
10583,0
13755,1
2858,1
1643,1
7855,1
13252,0
14769,1
5,0
2656,1
13254,0
5761,0
1659,1
15674,1
17233,0
14007,1
6161,0
10170,1
13259,0
16297,1
11478,0
17347,0
9222,1
487,1
3362,0
15548,1
119,1
6829,1
3703,0
4610,0
13733,1
14569,1
13211,0
12703,0
10087,1
11983,0
3608,0
11812,0
8882,1
6649,0
17406,0
1402,1
9394,1
10731,0
5948,0
11034,0
15999,1
6690,0
286,1
12844,0
4026,0
7021,1
10437,0
17523,0
3826,0
14183,1
4871,0
4189,0
10977,0
568,1
5568,0
6921,1
8057,1
15558,1
1957,1
3978,0
17134,0
4852,0
15983,1
15329,1
1157,1
15306,1
9693,1
9293,1
14829,1
5082,0
11193,0
1921,1
7918,1
2455,1
16266,1
16323,1
8910,1
2525,1
12363,0
1684,1
10175,0
17096,1
5151,0
13359,0
11146,0
2393,1
10001,1
7439,1
7476,1
6926,1
12769,0
13071,0
10575,0
10110,1
6215,0
2613,1
7667,1
7912,1
11772,0
15755,1
16642,1
6386,1
13925,1
17346,0
15631,1
1575,1
4058,0
14617,1
1583,1
1520,1
4488,0
1617,1
17419,0
491,1
11430,0
5553,0
10104,1
9751,1
7840,1
16080,1
1320,1
15629,1
316,1
11465,0
15413,1
8824,1
4720,0
3582,0
13201,0
10753,0
17139,0
10662,0
6775,0
13508,0
15115,1
8813,1
17848,0
7375,1
9100,1
1270,1
5170,0
11089,0
7720,1
2037,1
1022,1
9149,1
7991,1
6415,1
4464,0
266,1
13517,0
7802,1
17012,1
16728,1
9623,1
12481,0
2884,1
4115,0
5198,0
1952,1
6730,0
11213,0
6051,0
14780,1
2742,1
6512,1
10098,1
1263,1
6291,0
2549,1
3584,0
9625,1
3376,0
16610,1
2522,1
7417,1
8642,1
9535,1
5168,0
15990,1
16680,1
13720,1
850,1
7932,1
11495,0
12412,0
15664,1
9431,1
6808,1
13641,1
4914,0
4896,0
5504,0
8407,1
6844,1
17970,0
2698,1
15215,1
15906,1
14279,1
12667,0
6955,1
5562,0
14151,1
10316,0
5923,0
758,1
12211,0
3821,0
4391,0
14950,1
17681,0
12333,0
4254,0
3592,0
3425,0
8287,1
1323,1
6810,1
10264,0
4740,0
10367,0
895,1
17190,0
14602,1
17124,1
1225,1
10292,0
2312,1
1182,1
14367,1
8523,1
14119,1
4351,0
2859,1
12030,0
9372,1
11650,0
5115,0
13436,0
17060,1
2112,1
14389,1
11544,0
764,1
15572,1
16374,1
17738,0
16724,1
14064,1
15661,1
12116,0
13052,0
15875,1
14445,1
2227,1
8649,1
9042,1
945,1
1274,1
16470,1
6186,0
9708,1
14962,1
10436,0
17739,0
13838,1
14936,1
17846,0
12326,0
5714,0
13656,1
17936,0
8495,1
17033,1
8986,1
2788,1
10809,0
16419,1
1180,1
8206,1
9809,1
16796,1
10083,1
6866,1
3334,0
2119,1
1326,1
16050,1
2608,1
15528,1
1459,1
6729,0
5860,0
3031,1
9559,1
8486,1
11471,0
7040,1
7550,1
14258,1
10041,1
10447,0
10212,0
3433,0
1586,1
1395,1
10217,0
6619,0
8810,1
8957,1
3889,0
17222,0
15440,1
14745,1
13068,0
11217,0
13236,0
12425,0
6946,1
10376,0
16935,1
12646,0
11936,0
5642,0
9400,1
3299,0
9209,1
11155,0
11540,0
7585,1
14158,1
14613,1
3032,1
8538,1
3903,0
7014,1
7466,1
6664,0
10683,0
12564,0
2086,1
14435,1
373,1
2182,1
9742,1
10784,0
15859,1
6067,0
11628,0
11550,0
11709,0
15986,1
16114,1
14750,1
586,1
10282,0
11239,0
7590,1
7038,1
8072,1
14680,1
13688,1
3165,1
2245,1
1484,1
7728,1
4125,0
7983,1
6211,0
449,1
16219,1
5564,0
7305,1
3647,0
15675,1
10269,0
9682,1
13376,0
3248,1
9224,1
15322,1
9272,1
11251,0
15472,1
5990,0
15011,1
1489,1
11012,0
3682,0
14580,1
14464,1
13776,1
14260,1
2959,1
6556,0
4856,0
8678,1
468,1
27,0
14799,1
9630,1
12020,0
15063,1
805,1
14359,1
6814,1
4602,0
8161,1
5035,0
7717,1
14017,1
3352,0
1143,1
8115,1
2737,1
16648,1
15578,1
15938,1
17271,0
17087,1
5348,0
4400,0
17109,1
1206,1
135,1
3509,0
13941,1
12457,0
13365,0
13484,0
3742,0
8242,1
11733,0
83,1
15031,1
925,1
9001,1
17505,0
12440,0
9952,1
2088,1
5474,0
1398,1
13060,0
6424,1
1983,1
9918,1
16472,1
15760,1
3099,1
2536,1
13802,1
13157,0
7540,1
8425,1
13026,0
14442,1
11379,0
2798,1
9839,1
16459,1
14111,1
4836,0
15318,1
10605,0
15287,1
13210,0
14265,1
15197,1
9482,1
7878,1
17566,0
9574,1
10383,0
9723,1
4168,0
14736,1
12171,0
5561,0
11178,0
8886,1
5357,0
4554,0
8239,1
10405,0
8431,1
17215,0
3980,0
10221,0
10030,1
10056,1
10251,0
8422,1
16590,1
16632,1
10633,0
17240,0
11195,0
5996,0
875,1
12233,0
12163,0
4344,0
4705,0
3021,1
12029,0
1047,1
5841,0
13786,1
6688,0
15866,1
17773,0
794,1
3745,0
8602,1
2802,1
8935,1
15475,1
4884,0
14907,1
2194,1
10360,0
3042,1
16365,1
1043,1
4693,0
14096,1
17230,0
12095,0
4794,0
14752,1
1880,1
12761,0
15211,1
15844,1
1775,1
14334,1
14880,1
8372,1
15803,1
10946,0
6162,0
14682,1
15173,1
13633,1
8303,1
199,1
14681,1
554,1
16141,1
345,1
11740,0
11072,0
4176,0
2236,1
8513,1
13982,1
2154,1
12231,0
5743,0
3692,0
15270,1
831,1
13299,0
6557,0
10330,0
7093,1
7191,1
2453,1
7228,1
5420,0
360,1
6758,0
13991,1
12106,0
8354,1
9102,1
13886,1
17357,0
14159,1
6850,1
7087,1
9231,1
16436,1
13162,0
14943,1
8508,1
7793,1
14902,1
11453,0
10032,1
10560,0
3108,1
6375,0
15231,1
7953,1
8507,1
10810,0
1508,1
2872,1
17095,1
13815,1
4124,0
3438,0
15788,1
8251,1
12437,0
4216,0
5960,0
15625,1
13415,0
2734,1
8796,1
14347,1
1711,1
14658,1
7035,1
13019,0
4035,0
12511,0
12705,0
13471,0
9091,1
17843,0
7319,1
1254,1
11990,0
14521,1
13209,0
7270,1
2122,1
2673,1
14595,1
3953,0
1516,1
13361,0
8768,1
8136,1
4718,0
9345,1
337,1
15425,1
2344,1
4004,0
12948,0
13398,0
14050,1
10564,0
5412,0
16808,1
11537,0
6848,1
33,1
12137,0
311,1
9273,1
7048,1
16011,1
12483,0
239,1
13199,0
14133,1
5286,0
1745,1
9515,1
10830,0
4256,0
15289,1
1024,1
8692,1
12862,0
2906,1
9701,1
8735,1
11114,0
13710,1
4870,0
14084,1
9861,1
17001,1
15632,1
4203,0
10205,0
13840,1
6662,0
16248,1
5742,0
14994,1
6676,0
16321,1
2357,1
7268,1
15888,1
10391,0
4127,0
4982,0
10920,0
12840,0
6134,0
2124,1
9773,1
7518,1
14386,1
732,1
9185,1
10829,0
3763,0
79,1
17515,0
10141,1
333,1
7301,1
17504,0
13485,0
2188,1
13483,0
13644,1
14574,1
10466,0
4289,0
214,1
6759,0
3154,1
9776,1
106,1
5804,0
12589,0
5250,0
17798,0
9855,1
16292,1
1528,1
14892,1
12914,0
1662,1
455,1
4585,0
6977,1
17736,0
7578,1
14582,1
15044,1
10871,0
8865,1
15778,1
5942,0
10796,0
18004,0
4388,0
12156,0
3646,0
7908,1
10791,0
17994,0
173,1
8875,1
335,1
5936,0
9066,1
13583,1
399,1
5346,0
749,1
611,1
11098,0
7341,1
5639,0
10584,0
10594,0
5391,0
9967,1
14575,1
3087,1
8581,1
17756,0
11077,0
3187,1
6345,0
15423,1
5900,0
14274,1
10387,0
17661,0
12809,0
15296,1
6178,0
16635,1
17514,0
16284,1
9935,1
6194,0
9638,1
9060,1
1562,1
12759,0
15749,1
11415,0
2755,1
14141,1
2694,1
8913,1
15355,1
17749,0
14810,1
11828,0
12616,0
10910,0
12376,0
10325,0
16207,1
13531,1
12957,0
16531,1
15879,1
2213,1
16456,1
10676,0
7044,1
7753,1
12622,0
2348,1
11893,0
8741,1
11334,0
12960,0
11701,0
6440,1
5293,0
4484,0
12417,0
10645,0
5511,0
9500,1
9740,1
2683,1
8619,1
6315,0
5169,0
14081,1
14361,1
14076,1
16770,1
12815,0
12569,0
1521,1
9438,1
5125,0
13334,0
17166,0
16302,1
5332,0
3591,0
17405,0
3905,0
6725,0
9132,1
1675,1
6667,0
8261,1
8744,1
14877,1
2056,1
17202,0
17162,0
12537,0
7592,1
15588,1
15335,1
13495,0
17552,0
10765,0
16692,1
12055,0
10944,0
12799,0
11743,0
9085,1
10416,0
6351,0
3316,0
10733,0
12266,0
6712,0
4221,0
15628,1
14399,1
15845,1
1615,1
4680,0
5849,0
3973,0
10959,0
1598,1
16929,1
8630,1
1803,1
10978,0
9698,1
8020,1
13818,1
12632,0
6399,1
5359,0
1732,1
13267,0
772,1
15668,1
7335,1
7899,1
7696,1
394,1
6266,0
2595,1
9983,1
14322,1
10646,0
10186,0
6421,1
2029,1
15719,1
2057,1
10010,1
8145,1
4237,0
14783,1
6021,0
14809,1
11607,0
871,1
2816,1
11869,0
14958,1
8213,1
9308,1
4098,0
10324,0
15375,1
6506,1
7250,1
17824,0
9920,1
2288,1
8658,1
10648,0
9038,1
7109,1
8373,1
3025,1
4057,0
15810,1
12876,0
275,1
8404,1
3576,0
15975,1
12789,0
3678,0
13661,1
